,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ
FP1,1.0,0.9637650772496315,0.8852044982322923,0.8204274189634146,0.9472285884062763,0.941561260245765,0.7965776931116832,0.8018699524139368,0.9182700409473575,0.7905652004315394,0.7963579303738271,0.3021796647151294,0.6590484406885702,0.5611668581892717,0.6863530009926764,0.6163765852446028,0.5321729652929336,0.5236899255744552,0.49054191826785093,0.28482235884189927,0.14364353322268217,0.0688563760607272,0.19526624170404117,0.017788027603804785,0.08447966273960729,0.2183378487524479,0.4191969624945279,0.12674955972296392,0.07009583736998555,0.1525234849988339,0.19963122722605567,0.9017977077049113,0.8799543477201266,0.8737870339800667,0.8981625505812707,0.7950391509283938,0.7508989136794463,0.9737798095277348,0.526447389291145,0.7233964788699451,0.5836786413406276,0.6655205060316701,0.7311080276149254,0.8840095799675842,0.3594714040004812,0.5483879873453058,0.9360511489868605,0.38506281171862977,0.10361899779734264,0.2809802013223877,0.10394568925897439,0.3569669961153149,0.184579803586559,0.24431371882869693,0.16556109162319868,0.3739095580258183,0.0543290318455253,0.1931741093024719,-0.08163812954231904,0.031134425447663986,-0.008387872382201358
FP2,0.9637650772496315,1.0,0.8366471290580392,0.847145478812512,0.9539587829811518,0.9687211262649159,0.8114731005090093,0.8511278960084142,0.8619384667958313,0.814420145603495,0.7014366038411856,0.3665481793570571,0.581659430283397,0.5429239720456681,0.60016079004982,0.6067912310973981,0.42027356013777695,0.5650437662240189,0.4476453837250592,0.31443717521749737,0.11934115307408293,0.1197938920562209,0.20481416759860407,0.08582467570034798,0.1393069439355365,0.2537200050808041,0.4185709435991674,0.19791851958509715,0.09192506399067632,0.18113410239800246,0.23492604258555108,0.9007862053451681,0.9365345678158807,0.8265291421462969,0.9340810866396025,0.7133135796916107,0.7387396996285372,0.9878827659279954,0.5850776355824002,0.6168962132310873,0.5991445438738447,0.5687435996017157,0.7718436743860871,0.8647896782634862,0.37862532289282813,0.4911677784786688,0.9554939257510233,0.34143583430780416,0.1735973403065387,0.29502769638392834,0.1520527427600587,0.23880489820721368,0.2727170832162984,0.2588914918282844,0.20565306419613977,0.3787173847278189,0.08716974409251223,0.21106602179089706,-0.04225233910312577,0.07117666123261664,0.028526296072444855
F7,0.8852044982322922,0.8366471290580392,1.0,0.8585914234230526,0.8374147948139166,0.784163909680928,0.5789931766299065,0.6596506986030822,0.8972350546806034,0.7863088572991389,0.9055934208136047,0.0962402041733856,0.5766479285941666,0.6928619674840162,0.8634643010151829,0.620961925904957,0.7183347080395099,0.5595442287559502,0.7068705421441746,0.4941316401703709,0.36970660092714047,0.24884022190713875,0.4301296450111459,0.23101186174322652,0.32856729605614327,0.43466830367958786,0.5982531016515444,0.30982126520563447,0.33462935962167634,0.39285521197676165,0.383470985217108,0.9487616887572762,0.8342413731544339,0.9664683928806135,0.8076093274730436,0.9092886365474819,0.8015971851798974,0.8545651214590015,0.37081148955113097,0.8437430248656084,0.6926641660249214,0.852285943895191,0.5089002616846245,0.7314481796901554,0.5407486038613795,0.7311974711677426,0.8105049421787791,0.5978800916655415,0.3118178135547435,0.47516928152568183,0.32469358145120414,0.5089367342974447,0.10994104836817475,0.4412948083830744,0.37572244359390317,0.14534764114564602,0.2728655959879599,0.4309145326091592,0.20915685061960085,0.27177855848403865,0.21290914149842968
F8,0.8204274189634148,0.847145478812512,0.8585914234230525,1.0,0.7742666336157795,0.8159792653662884,0.6107456548270693,0.7922143640037645,0.7154418919298403,0.9094894328602512,0.6799609230224861,0.31187126798199694,0.4257610718673993,0.7482060260138682,0.6954764749334049,0.6629737679486326,0.4316872646346991,0.6513773973619056,0.5523880811467772,0.5192233307698266,0.10679366743821682,0.21205112152443642,0.306064533603465,0.2557117002144607,0.20978099078714565,0.4869631628688208,0.5692527916778679,0.38566237937636105,0.27240533897546926,0.4235792650932757,0.4382946284766334,0.9025229130982425,0.9401242268112386,0.8145213763497426,0.9078625689448968,0.7191231689585389,0.8524437390269035,0.8212346022397977,0.611226430532317,0.6115733646604465,0.7620515080509147,0.6308698283520093,0.6261620603870289,0.6877120525125948,0.6053129320555893,0.6132480553827465,0.8229426268712394,0.3496130245110568,0.3604673493148045,0.4298110664073739,0.36985335084038484,0.18218037969924397,0.26789132369269847,0.44482610880674966,0.4416627778127704,0.22949361420238085,0.2623390884548413,0.4356474679191149,0.14683377066015835,0.1630549549583105,0.0709617501121141
AF1,0.9472285884062763,0.9539587829811519,0.8374147948139166,0.7742666336157796,0.9999999999999999,0.9662605145221255,0.8713546988545452,0.8015389545508045,0.9299707558422357,0.7626845932792568,0.7550920078006572,0.4074273715779894,0.753081050488864,0.48476725321896974,0.5889254299473482,0.48807337298773534,0.496330051531979,0.4691339240830978,0.4015114933992207,0.19878085083592933,0.12189232208062371,-0.027116781641788133,0.12002977324298965,-0.07913137674776052,0.028619717838600334,0.11145985000171056,0.3076997562332012,0.052470732924838115,-0.013384154953091738,0.045197752977467594,0.08044412657144652,0.8862681734662285,0.8569735414100139,0.8682402614064919,0.8915365313527501,0.7214071334141796,0.6986794587374924,0.9723218309226093,0.5745333807731899,0.7369316381011627,0.517873545177498,0.6145073915893844,0.8032932719767,0.9455935263355465,0.2751534958736203,0.4497476938648195,0.9697196210631659,0.327242476379723,0.026252596220145995,0.1869157990578031,-0.014795902741513246,0.4213556978123217,0.21359630569068871,0.14311418904763026,0.049122464570712204,0.49341938277767394,-0.016561628615150713,0.10101708096880407,-0.1838209321678752,-0.030983295370750587,-0.07538111547137802
AF2,0.9415612602457651,0.9687211262649158,0.784163909680928,0.8159792653662884,0.9662605145221255,1.0,0.90912975033327,0.8962492335329411,0.8600228879441884,0.7936282353396605,0.6601451165375842,0.5198770823909223,0.6773213665049548,0.48203622055564244,0.5209862710614517,0.5695702099962138,0.3539666719208709,0.5235220590593876,0.32807262122417175,0.18765168978735688,-0.007266681921074442,-0.04255505442102239,0.060232800164434525,-0.07347280605778755,-0.01015009585235941,0.1172527317284445,0.30027825408298026,0.05991571438199867,-0.04054966449257495,0.06371535972978966,0.11902663332416089,0.8579460348762186,0.895889090915737,0.799563074069552,0.9444374913725853,0.6706096828317752,0.7029470349840986,0.9703307889821489,0.6346927361260783,0.6227306027192457,0.5383719746320574,0.5104728499447466,0.8852405066811893,0.9219756481677328,0.266384077303318,0.39747380161248574,0.9872103403610062,0.2075713098022665,0.0357879328172569,0.15736820896937348,0.0044366416345032,0.25314265785673573,0.3097883358120623,0.1499411410026936,0.0729567999706443,0.5487459297807833,-0.005397289464669181,0.11324620586913825,-0.2114459462334268,-0.08363256320399777,-0.1322643044187874
FZ,0.7965776931116831,0.8114731005090092,0.5789931766299065,0.6107456548270694,0.8713546988545452,0.90912975033327,1.0,0.8459995031574743,0.7665966539907486,0.5884249843484968,0.4850066357364849,0.7550651034753948,0.8100023839729642,0.23620086732678167,0.29649989013586325,0.3854348927049523,0.1843335669711781,0.37499195365198307,0.0478065964097467,-0.11803246267917865,-0.22477458490251015,-0.32628388351665216,-0.19324342655209772,-0.36666917839190144,-0.28846246706064177,-0.16605770085326427,0.07355978463373901,-0.2137156078860209,-0.2636603871981849,-0.16520222856544212,-0.09123264156691736,0.6593042095609578,0.7117906351449221,0.6122899766139415,0.7746252818396768,0.47805923932876776,0.4923969524815749,0.8285856276010207,0.615548373697072,0.5160671363268762,0.30699243404529464,0.2895326357732138,0.9664758890699559,0.9157256778827341,-0.028500960918795205,0.16649330617723188,0.8870210589836042,-0.037303075779304855,-0.2587796668416389,-0.0988794188451626,-0.2954935222012222,0.24963555884903652,0.3480325207369128,-0.043591068137435296,-0.18124424871744654,0.8337343307954026,-0.16412207745443838,-0.09591583903368199,-0.5137382961716682,-0.359083109372537,-0.41899669583272825
F4,0.8018699524139368,0.8511278960084141,0.6596506986030822,0.7922143640037643,0.8015389545508046,0.8962492335329411,0.8459995031574743,1.0,0.6860028693216134,0.7692161161336114,0.465806541911329,0.665134856194408,0.5430134889336801,0.4349029551615419,0.3995974445626405,0.540827195716201,0.14701716170844595,0.6682913283272934,0.18311000871759986,0.18332716486402126,-0.1706686161221522,-0.015369332945168327,-0.00861673596349819,-0.059357285673435574,-0.09175678811164222,0.11758846250010897,0.2573762282838757,-0.005584229010334926,-0.0646186455378195,0.06585390247434267,0.12110660605497915,0.725489089104143,0.8202582689881167,0.6290367656283139,0.884676254115908,0.5561850195351055,0.6222281380353651,0.815749920890565,0.55016499981885,0.4319782553650272,0.5366674127669951,0.3162831569948436,0.8984700788915518,0.7297801030039406,0.18815248635759502,0.2893244783941082,0.8501162504480702,0.05983239931382273,0.07656054751524341,0.05675802316603559,0.01337438037574084,0.02959580672519298,0.5108190181653524,0.13914676148894295,0.0821441713842637,0.5899834772419488,-0.014699309592938452,0.07400972763479988,-0.21115072607986993,-0.12802314129285247,-0.1975688290702399
F3,0.9182700409473576,0.8619384667958313,0.8972350546806034,0.7154418919298403,0.9299707558422357,0.8600228879441884,0.7665966539907486,0.6860028693216134,1.0,0.7156971662094402,0.8951448738385527,0.23333816175407024,0.792791808605261,0.5216158685283181,0.7466826813118792,0.487907639271505,0.7121467122995224,0.45314699101450034,0.5673690504282001,0.2782276829236733,0.30019732929039805,0.03279414857496544,0.2667579058866913,-0.0015801123313679264,0.12876475468546875,0.17877099575113725,0.41255112882629064,0.09293862443669693,0.13089967920977008,0.15484092070401173,0.15978540842586125,0.8683947976270954,0.7415277232586988,0.9276371629680948,0.7897225742608999,0.8412838787869015,0.6996320839721195,0.8977041369294942,0.44045159033249337,0.8869564675492698,0.543816094818964,0.7798713325538255,0.6588484968389601,0.90349000876651,0.3148822082470099,0.6037085642032163,0.8774700128713391,0.5314184491227286,0.08641501810703368,0.30172926842393183,0.05502656121321705,0.5878927738921049,0.06441088302420306,0.25299103491727526,0.12661102558268342,0.376245858472351,0.08868393353645579,0.20439766741986284,-0.05375610927353253,0.09538215912925864,0.018806025803715817
FC6,0.7905652004315394,0.8144201456034951,0.786308857299139,0.9094894328602512,0.7626845932792568,0.7936282353396604,0.5884249843484967,0.7692161161336114,0.7156971662094402,0.9999999999999998,0.7377422844116871,0.28925906756997877,0.4485678814760925,0.8586347125820729,0.7557950896167824,0.7440830761424302,0.5210311674230647,0.764258828235572,0.6267746461132696,0.6527174754591631,0.16498055155446326,0.316730285517319,0.3900585717061298,0.34419121517728773,0.26199419508738053,0.5740111354801565,0.631855515648598,0.43460002891073424,0.34306004676575935,0.48480060692873195,0.47379628470936225,0.7811998228216368,0.842351320140362,0.7454663985918606,0.9136198573833436,0.784187965549534,0.9410902187369246,0.8060741632894897,0.6714459919411597,0.6421524921162227,0.8905604805898907,0.6850674118790498,0.6078790994478854,0.6740170564927866,0.7040143407699588,0.6986314153529609,0.8081292041988772,0.436035051258388,0.4769403207473255,0.4951374527365922,0.43798196220119684,0.21323590753295332,0.3223662420825636,0.5101205758077226,0.5057660687436814,0.19187411199097015,0.34211424321717626,0.48803345374595913,0.18988470518929976,0.258262393621775,0.09582314497017264
FC5,0.796357930373827,0.7014366038411857,0.9055934208136047,0.6799609230224861,0.7550920078006573,0.6601451165375843,0.4850066357364849,0.46580654191132903,0.8951448738385528,0.7377422844116871,1.0,-0.059993009274679106,0.6457907164548953,0.7328810239217358,0.9340614130386937,0.6243064130067071,0.8983764529299634,0.4827276974293489,0.7984304267576746,0.5431288072824343,0.47711464521959623,0.2387517572542563,0.504798978956573,0.25178010349365637,0.3435774560711377,0.45339502605078524,0.6278233224771907,0.31792228864617395,0.41520827371746705,0.42071055742183594,0.4052693009830607,0.7802416787304297,0.6275840777276784,0.9020745810536378,0.6771411893673441,0.9622020991235223,0.8163622685256055,0.7589696381565931,0.3108170723307454,0.9441983960497335,0.7140110830519816,0.9619991767141994,0.370170598628963,0.6959472836242466,0.5809104147245983,0.821714609474423,0.7094899794113633,0.7149246612132705,0.31785975568975344,0.5285795737646837,0.3347072591131703,0.6753367627003606,-0.06365227588041233,0.4949413074406795,0.3955506759509804,0.06702556222353159,0.35669752954271355,0.4792600735814379,0.2300955498342996,0.33144121961846496,0.1988674735418561
FC2,0.3021796647151294,0.366548179357057,0.09624020417338558,0.3118712679819969,0.4074273715779894,0.5198770823909223,0.7550651034753947,0.665134856194408,0.23333816175407027,0.2892590675699787,-0.059993009274679106,1.0,0.49802963702582664,-0.04499577936314695,-0.14846237459554604,0.12891142451828097,-0.2895815354878219,0.33616553313672126,-0.34322192370001514,-0.2937246018061774,-0.5235150954979033,-0.39914562476184345,-0.3984852330637409,-0.4292616081712473,-0.45152710680870417,-0.2690818274178005,-0.13350290996943828,-0.3143780589425888,-0.36243909087149884,-0.24266312173667445,-0.16905529410144737,0.21442046490384473,0.38500313797356706,0.09949296984977804,0.44070029638161545,0.0015186149549477551,0.14436113543352672,0.349024218088659,0.573032392278291,0.01664697660991274,0.0764210360002632,-0.21187656858828768,0.820770247424728,0.49004027251018095,-0.23232788025050122,-0.19348863017253465,0.4725313292552197,-0.43640637137079524,-0.3144864714417427,-0.31037802340733767,-0.37104775786609506,-0.10537957219953036,0.6224293573006648,-0.14953098429334705,-0.26008530350818876,0.9010039203438462,-0.1899341453196843,-0.1977108062031834,-0.5916102767799567,-0.5115846731211725,-0.5710353709076034
FC1,0.6590484406885702,0.5816594302833971,0.5766479285941665,0.4257610718673993,0.753081050488864,0.6773213665049548,0.8100023839729642,0.5430134889336801,0.7927918086052611,0.4485678814760925,0.6457907164548953,0.4980296370258267,1.0,0.24009915329559683,0.405618790234817,0.21148404130469495,0.5057758046124577,0.18641791650678521,0.16556376141377668,-0.1327275529938736,-0.031644250529870334,-0.4121228178963626,-0.11993286280962773,-0.42890655730620003,-0.2956814765263591,-0.2003572109792364,0.05200815546418102,-0.2993307129729301,-0.20760626170911028,-0.22130901889132734,-0.1743663016732465,0.5411412397040918,0.4518263964132237,0.6209185517970937,0.5142952410120888,0.5596979813380263,0.45537482327537043,0.6527511348492883,0.3682239145388585,0.768888440216533,0.24869889018138322,0.4964242886781496,0.6960554358827904,0.8338912438535385,-0.05318122620428308,0.23210370412751496,0.6900068775754303,0.1493340067974174,-0.345338553184774,-0.08000897176073501,-0.36086550347284035,0.6352825213216557,0.029925711470101313,-0.06417179267369855,-0.23843076036824348,0.7309470679458178,-0.17802925088157232,-0.11657460829227402,-0.4827745977803968,-0.3294460679995723,-0.42805536867948746
T8,0.5611668581892717,0.5429239720456681,0.6928619674840162,0.7482060260138682,0.4847672532189697,0.48203622055564244,0.23620086732678164,0.4349029551615419,0.5216158685283181,0.8586347125820729,0.7328810239217358,-0.04499577936314695,0.24009915329559683,1.0,0.8356644949301396,0.8065442363610152,0.5852941941308692,0.6944003530199183,0.764357213222628,0.8296218444661858,0.3465870161652253,0.5204562748335201,0.6081131387460283,0.5511957313833967,0.4832813502885406,0.7881528617574219,0.7991232461850694,0.6270937087808911,0.5912322279334802,0.7079541878723592,0.6637331997555123,0.6028670310783172,0.6211844459813226,0.617612077625213,0.678920333569052,0.7867220096508891,0.9356747530957373,0.5633184137189543,0.42983469415022063,0.5936959940926226,0.9486129868603738,0.7619021263530402,0.2433378390408932,0.3842298785443498,0.9067699367789248,0.8405153278187284,0.5187971216200549,0.5561600167636853,0.6460935516870401,0.6760771342756384,0.6531447014164896,0.26383014967324336,0.20079455965979356,0.7061779946646537,0.7158420256033373,-0.11859762371703587,0.598285785744765,0.7279290843784387,0.4478413503785602,0.4997942131012032,0.3276848184505543
T7,0.6863530009926764,0.60016079004982,0.863464301015183,0.6954764749334049,0.5889254299473481,0.5209862710614517,0.2964998901358632,0.3995974445626405,0.7466826813118791,0.7557950896167824,0.9340614130386938,-0.14846237459554604,0.405618790234817,0.8356644949301395,1.0,0.7275172360737638,0.85816291190451,0.5891897186979411,0.9029671819771297,0.7244109216982465,0.5175305004517696,0.43018947544590125,0.6683555548156374,0.4667822436217082,0.507528848501605,0.6698960788833586,0.8139960081649263,0.5195626192756183,0.627013936675569,0.6707293476093149,0.637222621591612,0.7269853157836966,0.5970063086226126,0.825501655975525,0.6240294923185277,0.9390670504340403,0.839974595093931,0.6351590261121646,0.3139574028479188,0.8136826166931577,0.82239806539369,0.9465687147871447,0.2160221950092964,0.5017694455953448,0.7522063033373692,0.9529849792052915,0.5779529996684218,0.7700190559180383,0.5300677827352425,0.7012991267142407,0.5592334248807198,0.5101816653569163,-0.014316699557256353,0.7120849367360097,0.6244073322626823,-0.12905832533614023,0.5831118186000538,0.6950331841276758,0.4443390339554348,0.5194231329065185,0.3430755065296832
CZ,0.6163765852446028,0.606791231097398,0.620961925904957,0.6629737679486327,0.48807337298773534,0.5695702099962138,0.3854348927049523,0.540827195716201,0.48790763927150493,0.7440830761424303,0.6243064130067071,0.12891142451828097,0.21148404130469498,0.8065442363610152,0.7275172360737638,0.9999999999999998,0.40726087590077675,0.6148527700360942,0.6467619931322249,0.6159558132349716,0.24023862672357016,0.41387082897302285,0.5159702703563652,0.432383272978399,0.4577857496950991,0.6390802935934291,0.7751463575799076,0.5223794903846927,0.5294132243685237,0.6403551657577299,0.6877172772373401,0.5323576917963136,0.6392762262449003,0.5287599594220206,0.6924647098433078,0.7517586315122708,0.8330886537508118,0.6257677675771012,0.444335862984784,0.44137392785461566,0.796316968021405,0.6120900132548576,0.4226031594717996,0.42653883537446374,0.7175931201478172,0.7427106039943858,0.5728820149493528,0.41846852855094796,0.4829532233712248,0.6208105093925981,0.5436376405226149,0.15974396715025194,0.2923071362425717,0.6911163186853617,0.6049729309507003,0.04954655269796472,0.6161354784434645,0.7123545709664905,0.3154704527022392,0.39838076870187367,0.25729462505096484
C3,0.5321729652929336,0.42027356013777695,0.71833470803951,0.4316872646346991,0.49633005153197907,0.3539666719208709,0.18433356697117806,0.14701716170844595,0.7121467122995224,0.5210311674230647,0.8983764529299634,-0.28958153548782195,0.5057758046124579,0.5852941941308692,0.85816291190451,0.40726087590077675,1.0,0.3467613059186008,0.8605244696409129,0.5675662186984558,0.6682074646529833,0.2844725868786078,0.6454245869597615,0.3716548091333851,0.4516713931206311,0.48714346798524394,0.6211018748675905,0.40082335329331964,0.5580504159415735,0.44370297579284984,0.4380367677341905,0.5617207785040214,0.3473840882787815,0.7401728136506547,0.3823577978945758,0.8179577970823122,0.617506322928843,0.4796631360525782,0.16381984473822792,0.8888146884005075,0.5824350745498195,0.9418983056683364,0.049372286964951856,0.4588742782185063,0.548119834723865,0.7973308826091576,0.41841714199439006,0.8620236748188623,0.3930321616840761,0.622938993234138,0.40982946110491003,0.7503249603036094,-0.24793931332880306,0.5432474063034386,0.4393036258393685,-0.17111327847501837,0.42873729896732304,0.4954793536895218,0.4021660677694054,0.4887532293221857,0.3103673241942303
C4,0.5236899255744552,0.5650437662240188,0.5595442287559502,0.6513773973619057,0.46913392408309784,0.5235220590593878,0.37499195365198307,0.6682913283272934,0.45314699101450034,0.764258828235572,0.4827276974293489,0.33616553313672126,0.18641791650678521,0.6944003530199183,0.5891897186979411,0.6148527700360942,0.3467613059186008,1.0,0.5382246717301593,0.7314974354041079,0.2040379164636453,0.5646527646297251,0.5270671822871361,0.5488899761326566,0.3863789993356197,0.6869257554025259,0.6848740951440593,0.49239225520701096,0.5140018046042116,0.5954722918453478,0.5969653218806596,0.5234858450391455,0.6030671723736563,0.47975027575787504,0.6877580681627472,0.61125795706356,0.699506650099467,0.5167586748471168,0.4578175812494445,0.34075230733850953,0.8423514134586161,0.45542050684217517,0.42518793534408955,0.3146257173205027,0.6502659900267856,0.6249745293428484,0.49558959660731766,0.42700898512197155,0.6810402570581563,0.5207451896564729,0.6023497721373813,0.01853830742353357,0.6798612947359085,0.6398218532279858,0.6378537366233534,0.085614559605235,0.5260541045444144,0.5613804966197884,0.39003350798195624,0.4303011977930374,0.255244178342568
