rank,channel,snr,mean_alcoholic,mean_control
1,CPZ,0.4974201529022987,-0.1919415909090909,0.9679061363636364
2,CP1,0.3989586429853444,-0.7010384090909091,0.41773738636363644
3,AFZ,0.3242712718093287,-2.727332159090909,-4.774797045454546
4,CZ,0.3161881049347935,-11.272592272727273,-14.309048295454549
5,FZ,0.3141681603935008,-1.630271704545455,-3.1210125000000004
6,AF2,0.31140538890694447,-3.0051248863636366,-4.945448750000001
7,C6,0.30142644261920587,-3.5209551136363637,-4.796904204545456
8,F4,0.30000273619094014,-2.4459498863636364,-4.07949
9,F6,0.29576040444177226,-4.336082954545455,-5.998127954545454
10,FP2,0.28322661354931,-4.897168863636364,-7.095761477272728
11,FC6,0.2830692143022799,-4.077643522727273,-5.4577395454545465
12,FPZ,0.2817017673717515,-4.681882727272727,-6.935634318181817
13,PZ,0.28119164078045167,-1.0658161363636363,0.28614011363636394
14,F2,0.27335232463761877,-1.9585430681818181,-3.314838409090909
15,FP1,0.2669908644495204,-4.035342272727272,-6.348885454545455
16,FT8,0.2506860825411482,-6.54175784090909,-8.378593295454547
17,P1,0.24758185612884,-1.3378092045454548,-0.04543886363636359
18,CP2,0.24709291274962522,-0.6969185227272728,-0.003644318181818329
19,C4,0.22680885718693714,-1.644727159090909,-2.2269780681818183
20,FT7,0.2260580574175461,-5.328039431818182,-7.032173409090911
21,AF8,0.2233659083868751,-6.082782840909091,-7.814928068181819
22,FC5,0.2229915335537876,-3.5339802272727274,-4.910368522727273
23,AF1,0.2165545513391734,-2.813594659090909,-4.287096818181817
24,O1,0.20973172782989485,-6.392360909090909,-8.212741590909094
25,F8,0.20970655656469595,-7.064776477272727,-8.643908181818183
26,T7,0.19804722252971568,-5.873602386363637,-7.148699772727272
27,FC2,0.19576716435899652,-1.1925939772727274,-1.8351892045454548
28,FCZ,0.19568953767921843,-0.7914644318181818,-1.4498087500000003
29,P2,0.19175492679002992,-1.669297613636364,-0.6538952272727278
30,FC1,0.1911718047992426,-0.976472159090909,-1.5574973863636363
31,F1,0.18512638789848046,-2.002510340909091,-2.900849204545455
32,TP7,0.1787636036378154,-5.9521828409090904,-7.091273295454546
33,F3,0.17422517348082625,-2.1539387499999996,-3.1079801136363634
34,C1,0.16887255730372838,-0.6247493181818182,-0.26445227272727273
35,T8,0.1686779409032587,-6.401147840909092,-7.567048522727272
36,POZ,0.15740272157367957,-3.2031135227272727,-4.2422625
37,PO7,0.15244850090685186,-6.278915454545454,-7.530400000000002
38,P3,0.15225967363171464,-2.202790227272727,-1.2988894318181816
39,CP3,0.1494611308084237,-1.5872635227272727,-0.9785735227272724
40,F5,0.1492292203340381,-3.708572045454545,-4.76235375
41,PO8,0.1279436345418088,-7.179549431818183,-8.406518636363634
42,C5,0.12394668710271942,-3.613328295454545,-4.260166022727273
43,FC4,0.11972186361385366,-2.6159380681818183,-3.1121522727272737
44,FC3,0.11419026768457254,-2.0082809090909093,-2.5091823863636367
45,C2,0.11036129551986743,-0.6604552272727273,-0.481370568181818
46,F7,0.10973432142903645,-5.958876931818182,-6.859092045454545
47,C3,0.09724238038243506,-1.4504196590909093,-1.8336097727272727
48,P5,0.09677956199487997,-3.8071078409090915,-3.1633732954545453
49,AF7,0.09614738586157191,-5.483062613636363,-6.320143863636364
50,O2,0.09193823092199419,-7.085492272727274,-7.931143181818183
51,OZ,0.08961508061931561,-7.109356704545455,-7.859605454545457
52,CP6,0.08883688386951753,-3.6472979545454542,-4.1530801136363635
53,P7,0.07330971882629383,-6.326754659090908,-6.862524318181817
54,PO2,0.07207340962772965,-4.449065568181819,-3.9284921590909088
55,TP8,0.06403881364070911,-6.780532045454545,-7.278137272727274
56,P4,0.058215611638427756,-2.335920113636364,-1.971134772727273
57,CP4,0.044311275200265884,-1.6891488636363636,-1.5226630681818183
58,P8,0.03192426746159784,-6.763700454545453,-7.059870568181819
59,P6,0.030489082527358838,-3.882581136363636,-4.115327613636363
60,CP5,0.029455305708381858,-3.5128803409090907,-3.6699093181818183
61,PO1,0.003449289196261264,-3.4660897727272726,-3.488956818181818
