rank,channel,snr,mean_alcoholic,mean_control
1,CPZ,0.4974,-0.1919,0.9679
2,CP1,0.399,-0.701,0.4177
3,AFZ,0.3243,-2.7273,-4.7748
4,CZ,0.3162,-11.2726,-14.309
5,FZ,0.3142,-1.6303,-3.121
6,AF2,0.3114,-3.0051,-4.9454
7,C6,0.3014,-3.521,-4.7969
8,F4,0.3,-2.4459,-4.0795
9,F6,0.2958,-4.3361,-5.9981
10,FP2,0.2832,-4.8972,-7.0958
11,FC6,0.2831,-4.0776,-5.4577
12,FPZ,0.2817,-4.6819,-6.9356
13,PZ,0.2812,-1.0658,0.2861
14,F2,0.2734,-1.9585,-3.3148
15,FP1,0.267,-4.0353,-6.3489
16,FT8,0.2507,-6.5418,-8.3786
17,P1,0.2476,-1.3378,-0.0454
18,CP2,0.2471,-0.6969,-0.0036
19,C4,0.2268,-1.6447,-2.227
20,FT7,0.2261,-5.328,-7.0322
